year,month,week,drug_class,claims_per_1000ppl
2012,2,8,Macrolides,3.269629529037549
2012,2,8,Nitrofurans,0.33688674859891676
2012,2,8,Penicillins,3.820661342637327
2012,2,8,Quinolones,1.1751863323218026
2012,2,8,Tetracyclines,0.7260040008565802
2012,2,9,Macrolides,3.6326315294658382
2012,2,9,Nitrofurans,0.3290521730501047
2012,2,9,Penicillins,4.000856580260004
2012,2,9,Quinolones,1.3684391958591655
2012,2,9,Tetracyclines,0.7155579001248309
2012,3,10,Macrolides,3.4363543309553903
2012,3,10,Nitrofurans,0.3420687061969271
2012,3,10,Penicillins,3.963819053488056
2012,3,10,Quinolones,1.321273017829352
2012,3,10,Tetracyclines,0.7781410263105671
2012,3,11,Macrolides,3.3110161790664394
2012,3,11,Nitrofurans,0.3629583981784189
2012,3,11,Penicillins,4.044766609916337
2012,3,11,Quinolones,1.232491826908012
2012,3,11,Tetracyclines,0.7494176998360159
2012,3,12,Macrolides,3.1856780271774894
2012,3,12,Nitrofurans,0.3681808211737918
2012,3,12,Penicillins,3.88026028556209
2012,3,12,Quinolones,1.242936672898758
2012,3,12,Tetracyclines,0.7233055848591513
2012,3,13,Macrolides,3.3214610250571854
2012,3,13,Nitrofurans,0.37079203267147826
2012,3,13,Penicillins,4.000376014455667
2012,3,13,Quinolones,1.3447739213085304
2012,3,13,Tetracyclines,0.7363616423475836
2012,4,14,Macrolides,3.1925881874237065
2012,4,14,Nitrofurans,0.3860319050152848
2012,4,14,Penicillins,3.9959518816447046
2012,4,14,Quinolones,1.2572120149822112
2012,4,14,Tetracyclines,0.7303306311099982
2012,4,15,Macrolides,3.1847632163760995
2012,4,15,Nitrofurans,0.3338654313645706
2012,4,15,Penicillins,3.975085292184419
2012,4,15,Quinolones,1.2024372176489613
2012,4,15,Tetracyclines,0.7746721337131053
2012,4,16,Macrolides,2.903064258662243
2012,4,16,Nitrofurans,0.31560716558682067
2012,4,16,Penicillins,3.2186714242490635
2012,4,16,Quinolones,1.1189708598078187
2012,4,16,Tetracyclines,0.6755558337767483
2012,4,17,Macrolides,3.041305413836635
2012,4,17,Nitrofurans,0.34169040241217774
2012,4,17,Penicillins,3.2812711926299207
2012,4,17,Quinolones,1.267645309712354
2012,4,17,Tetracyclines,0.7511972205702839
2012,4,18,Macrolides,2.9447974375828143
2012,4,18,Nitrofurans,0.38342358133274906
2012,4,18,Penicillins,3.312571076820349
2012,4,18,Quinolones,1.1372291255855689
2012,4,18,Tetracyclines,0.7511972205702839
2012,5,19,Macrolides,3.1134719230161014
2012,5,19,Nitrofurans,0.3629359443982133
2012,5,19,Penicillins,3.5152938614569806
2012,5,19,Quinolones,1.1743570200885045
2012,5,19,Tetracyclines,0.7388338868106485
2012,5,20,Macrolides,3.0953251257961907
2012,5,20,Nitrofurans,0.3862675408238128
2012,5,20,Penicillins,3.5749190523224015
2012,5,20,Quinolones,1.2210202129397034
2012,5,20,Tetracyclines,0.8191982744988243
2012,5,21,Macrolides,2.906079954788551
2012,5,21,Nitrofurans,0.32145755075270327
2012,5,21,Penicillins,3.367527084094851
2012,5,21,Quinolones,1.2495366085709916
2012,5,21,Tetracyclines,0.7647578828390923
2012,5,22,Macrolides,2.44981762468794
2012,5,22,Nitrofurans,0.347381546781147
2012,5,22,Penicillins,3.0123683385051705
2012,5,22,Quinolones,1.1121394296202394
2012,5,22,Tetracyclines,0.674023896739539
2012,6,23,Macrolides,2.7807076421516923
2012,6,23,Nitrofurans,0.3887289341311779
2012,6,23,Penicillins,3.2549569417917295
2012,6,23,Quinolones,1.334636007183711
2012,6,23,Tetracyclines,0.6867544502984143
2012,6,24,Macrolides,2.607075384906433
2012,6,24,Nitrofurans,0.39132046035871904
2012,6,24,Penicillins,3.223858627061235
2012,6,24,Quinolones,1.3916495841896168
2012,6,24,Tetracyclines,0.7722748158072734
2012,6,25,Macrolides,2.874002586343175
2012,6,25,Nitrofurans,0.33689840958035416
2012,6,25,Penicillins,3.153887418917623
2012,6,25,Quinolones,1.4097902677824052
2012,6,25,Tetracyclines,0.837062971495803
2012,6,26,Macrolides,2.7366516962834924
2012,6,26,Nitrofurans,0.4146441964065898
2012,6,26,Penicillins,3.182394207420576
2012,6,26,Quinolones,1.4875360546086407
2012,6,26,Tetracyclines,0.7541341322144851
2012,7,27,Macrolides,2.3358483870198863
2012,7,27,Nitrofurans,0.3813630019624305
2012,7,27,Penicillins,2.595387096688763
2012,7,27,Quinolones,1.300341902524676
2012,7,27,Tetracyclines,0.6647368992539586
2012,7,28,Macrolides,2.791365306030567
2012,7,28,Nitrofurans,0.4396267939289129
2012,7,28,Penicillins,3.066794140781212
2012,7,28,Quinolones,1.4645398617029446
2012,7,28,Tetracyclines,0.8103963791701647
2012,7,29,Macrolides,2.433837491690789
2012,7,29,Nitrofurans,0.4449235022895022
2012,7,29,Penicillins,2.9502665568482467
2012,7,29,Quinolones,1.5201552994891323
2012,7,29,Tetracyclines,0.7124072744992624
2012,7,30,Macrolides,2.5874420341478785
2012,7,30,Nitrofurans,0.4872971691742166
2012,7,30,Penicillins,2.8655192230788176
2012,7,30,Quinolones,1.3744958195729264
2012,7,30,Tetracyclines,0.7733194206460395
2012,7,31,Macrolides,2.5583101381646376
2012,7,31,Nitrofurans,0.3972531270441983
2012,7,31,Penicillins,2.722508097342906
2012,7,31,Quinolones,1.3930342988349889
2012,7,31,Tetracyclines,0.7733194206460395
2012,8,32,Macrolides,2.7969590110081657
2012,8,32,Nitrofurans,0.434426998833483
2012,8,32,Penicillins,2.9900376771563804
2012,8,32,Quinolones,1.4159102184202412
2012,8,32,Tetracyclines,0.7642697201700165
2012,8,33,Macrolides,2.5153859562086858
2012,8,33,Nitrofurans,0.4746517209476944
2012,8,33,Penicillins,2.9337230661964844
2012,8,33,Quinolones,1.397138681433609
2012,8,33,Tetracyclines,0.8071760904251754
2012,8,34,Macrolides,2.6360601225513203
2012,8,34,Nitrofurans,0.4290637025515882
2012,8,34,Penicillins,2.9739477883106957
2012,8,34,Quinolones,1.4883147182258216
2012,8,34,Tetracyclines,0.7508614794652794
2012,8,35,Macrolides,2.7915957147262707
2012,8,35,Nitrofurans,0.4639251283839048
2012,8,35,Penicillins,2.866681862672799
2012,8,35,Quinolones,1.421273514702136
2012,8,35,Tetracyclines,0.6999101647872782
2012,9,36,Macrolides,2.396896841951184
2012,9,36,Nitrofurans,0.3946907558720052
2012,9,36,Penicillins,2.3393922285128785
2012,9,36,Quinolones,1.1500922687661077
2012,9,36,Tetracyclines,0.6299369017559818
2012,9,37,Macrolides,2.796815289953944
2012,9,37,Nitrofurans,0.4704922917679532
2012,9,37,Penicillins,2.911824516830555
2012,9,37,Quinolones,1.2703291877734737
2012,9,37,Tetracyclines,0.7658568971556127
2012,9,38,Macrolides,2.856933749457627
2012,9,38,Nitrofurans,0.3973046019373827
2012,9,38,Penicillins,3.249010659264255
2012,9,38,Quinolones,1.2441907271196986
2012,9,38,Tetracyclines,0.7397184365018374
2012,9,39,Macrolides,3.2280998907412344
2012,9,39,Nitrofurans,0.444353831114178
2012,9,39,Penicillins,3.463346036625211
2012,9,39,Quinolones,1.2964676484272488
2012,9,39,Tetracyclines,0.7501738207633476
2012,9,40,Macrolides,3.024219897641788
2012,9,40,Nitrofurans,0.4129876783296478
2012,9,40,Penicillins,3.4450491141675688
2012,9,40,Quinolones,1.2833984181003613
2012,9,40,Tetracyclines,0.731876898305705
2012,10,41,Macrolides,3.0202984888092734
2012,10,41,Nitrofurans,0.4608558901027943
2012,10,41,Penicillins,3.22599123071956
2012,10,41,Quinolones,1.226345334680317
2012,10,41,Tetracyclines,0.6509263984502744
2012,10,42,Macrolides,3.3171209265025983
2012,10,42,Nitrofurans,0.41138548382057344
2012,10,42,Penicillins,3.387420977535228
2012,10,42,Quinolones,1.254986096212129
2012,10,42,Tetracyclines,0.8149598508597437
2012,10,43,Macrolides,3.0958059510295053
2012,10,43,Nitrofurans,0.4764781236656009
2012,10,43,Penicillins,3.65299894810294
2012,10,43,Quinolones,1.3409083808075657
2012,10,43,Tetracyclines,0.8175635564535447
2012,10,44,Macrolides,2.8875095035254175
2012,10,44,Nitrofurans,0.43481883416478334
2012,10,44,Penicillins,3.1036170678109083
2012,10,44,Quinolones,1.1300082277096766
2012,10,44,Tetracyclines,0.6196819313246612
2012,11,45,Macrolides,3.4338009275923773
2012,11,45,Nitrofurans,0.4195141404750869
2012,11,45,Penicillins,3.6901706801049303
2012,11,45,Quinolones,1.1963921783919145
2012,11,45,Tetracyclines,0.7846468182959957
2012,11,46,Macrolides,3.309500441525685
2012,11,46,Nitrofurans,0.43764129469314617
2012,11,46,Penicillins,3.874031815745246
2012,11,46,Quinolones,1.263721608344706
2012,11,46,Tetracyclines,0.8183115332723916
2012,11,47,Macrolides,2.8356048383964203
2012,11,47,Nitrofurans,0.3729014582000772
2012,11,47,Penicillins,3.317269221904853
2012,11,47,Quinolones,1.134241935358568
2012,11,47,Tetracyclines,0.6629359256890262
2012,11,48,Macrolides,3.8662630353660776
2012,11,48,Nitrofurans,0.396207799337582
2012,11,48,Penicillins,4.412667255367579
2012,11,48,Quinolones,1.3206926644586068
2012,11,48,Tetracyclines,0.833849094030728
2012,12,49,Macrolides,3.9014557099297025
2012,12,49,Nitrofurans,0.4133654839820875
2012,12,49,Penicillins,4.475574437682601
2012,12,49,Quinolones,1.2987841441165588
2012,12,49,Tetracyclines,0.7859047473239688
2012,12,50,Macrolides,4.245926946581442
2012,12,50,Nitrofurans,0.4057105676120488
2012,12,50,Penicillins,4.710325206363787
2012,12,50,Quinolones,1.4340209999872418
2012,12,50,Tetracyclines,0.9236932419846646
2012,12,51,Macrolides,4.559778517753027
2012,12,51,Nitrofurans,0.38784909608195867
2012,12,51,Penicillins,5.026728416325385
2012,12,51,Quinolones,1.5743611334379506
2012,12,51,Tetracyclines,0.8471440782842782
2012,12,52,Macrolides,3.4804353095775764
2012,12,52,Nitrofurans,0.3215064875416236
2012,12,52,Penicillins,3.8682844056595345
2012,12,52,Quinolones,1.1431341779257729
2012,12,52,Tetracyclines,0.515431035582603
2013,1,1,Macrolides,4.015505014317579
2013,1,1,Nitrofurans,0.44813643602409303
2013,1,1,Penicillins,4.172479359139578
2013,1,1,Quinolones,1.3368137752583114
2013,1,1,Tetracyclines,0.6937253303423814
2013,1,2,Macrolides,4.276284974263803
2013,1,2,Nitrofurans,0.45573196883806066
2013,1,2,Penicillins,4.716825877473928
2013,1,2,Quinolones,1.4634059888244393
2013,1,2,Tetracyclines,0.8177856996371867
2013,1,3,Macrolides,3.506604315781745
2013,1,3,Nitrofurans,0.339267132357223
2013,1,3,Penicillins,4.083864809643289
2013,1,3,Quinolones,1.2912405783745051
2013,1,3,Tetracyclines,0.7215756173269295
2013,1,4,Macrolides,3.7167473903015176
2013,1,4,Nitrofurans,0.4506682802954156
2013,1,4,Penicillins,4.395281655015963
2013,1,4,Quinolones,1.4228964804832784
2013,1,4,Tetracyclines,0.8355086095364447
2013,1,5,Macrolides,3.6939607918596145
2013,1,5,Nitrofurans,0.3797766406983839
2013,1,5,Penicillins,4.167415670596933
2013,1,5,Quinolones,1.38491881641344
2013,1,5,Tetracyclines,0.8836136506915732
2013,2,6,Macrolides,3.0491480469377916
2013,2,6,Nitrofurans,0.3767481112361357
2013,2,6,Penicillins,3.787574344960617
2013,2,6,Quinolones,1.2106172641054491
2013,2,6,Tetracyclines,0.6279135187268927
2013,2,7,Macrolides,3.0240315061887153
2013,2,7,Nitrofurans,0.41442292235974926
2013,2,7,Penicillins,3.52636232117023
2013,2,7,Quinolones,1.1503375663076676
2013,2,7,Tetracyclines,0.7233563735733805
2013,2,8,Macrolides,3.214917215881691
2013,2,8,Nitrofurans,0.4093996142099341
2013,2,8,Penicillins,4.066367947275357
2013,2,8,Quinolones,1.1930356855810962
2013,2,8,Tetracyclines,0.7660544928468093
2013,2,9,Macrolides,3.169707442533355
2013,2,9,Nitrofurans,0.5048424690564217
2013,2,9,Penicillins,4.043763060601189
2013,2,9,Quinolones,1.3738747789744414
2013,2,9,Tetracyclines,0.7183330654235653
2013,3,10,Macrolides,3.079179622160047
2013,3,10,Nitrofurans,0.464639665660366
2013,3,10,Penicillins,3.915531020348706
2013,3,10,Quinolones,1.084996408460963
2013,3,10,Tetracyclines,0.7208193732136489
2013,3,11,Macrolides,3.327824632432351
2013,3,11,Nitrofurans,0.41691991621416624
2013,3,11,Penicillins,4.337474068083525
2013,3,11,Quinolones,1.2582944459234775
2013,3,11,Tetracyclines,0.7836085172218064
2013,3,12,Macrolides,3.2399198308209303
2013,3,12,Nitrofurans,0.4345008765364504
2013,3,12,Penicillins,4.282219621356346
2013,3,12,Quinolones,1.2507597486424986
2013,3,12,Tetracyclines,0.8815595818745322
2013,3,13,Macrolides,3.169595989531794
2013,3,13,Nitrofurans,0.3867811270902506
2013,3,13,Penicillins,4.2194304773481885
2013,3,13,Quinolones,1.285921669287067
2013,3,13,Tetracyclines,0.8162588721060483
2013,4,14,Macrolides,3.313801271661887
2013,4,14,Nitrofurans,0.4114200224410921
2013,4,14,Penicillins,4.45331006108964
2013,4,14,Quinolones,1.2816357062710386
2013,4,14,Tetracyclines,0.8128662261563396
2013,4,15,Macrolides,3.074429622241616
2013,4,15,Nitrofurans,0.33412292731579607
