drug_class,period,t,mean_deviate,sem
Penicillins,52,45,-0.046104063764583356,0.06458932693006558
Penicillins,52,46,0.16801278751794255,0.06857402237686154
Penicillins,52,47,-0.1561086657437901,0.1659672358011505
Penicillins,52,48,-0.1432002845624729,0.2661260811830788
Penicillins,52,49,0.4391206363255479,0.06232859151181887
Penicillins,52,50,0.47894908134854147,0.10123020025945623
Penicillins,52,51,0.5970892889923398,0.13884761146485294
Penicillins,52,52,-0.17040888590277384,0.06736894093937418
Quinolones,26,1,-0.04626026189214198,0.06845614770182593
Quinolones,26,2,0.10865682041782358,0.017822385388711302
Quinolones,26,3,-0.02849768064030762,0.025370584133365806
Quinolones,26,4,0.04284663812490837,0.04393980839227369
Quinolones,26,5,0.008784311434964965,0.02619042922774281
Quinolones,26,6,-0.037360352465549654,0.03999440119885347
Quinolones,26,7,-0.02574764012067532,0.06671342274809437
Quinolones,26,8,-0.05237215119078766,0.035051652317090606
Quinolones,26,9,0.05331724885098739,0.017667043239450515
Quinolones,26,10,-0.05427315465128975,0.04540247156070808
Quinolones,26,11,-0.036887342481746146,0.006914063606168764
Quinolones,26,12,-0.008599226139632331,0.02255782392198917
Quinolones,26,13,0.030690331266260307,0.020641182538210415
Quinolones,26,14,-0.009380013488269112,0.013201338497028295
Quinolones,26,15,-0.01580820917489687,0.03182728671482712
Quinolones,26,16,-0.15379507614249344,0.04480197168768093
Quinolones,26,17,0.02082353149105125,0.026700200501989717
Quinolones,26,18,-0.02305785775269369,0.03532718526037149
Quinolones,26,19,-0.04411024101110335,0.02995320177276748
Quinolones,26,20,0.03872456570120959,0.04521613075767551
Quinolones,26,21,-0.04162001156808681,0.04735463668029818
Quinolones,26,22,-0.030937352173598852,0.047977133225242746
Quinolones,26,23,0.03670912580328602,0.011564011317678261
Quinolones,26,24,0.07584461463196983,0.028060342899051193
Quinolones,26,25,0.06453057823540127,0.038342219102661036
Quinolones,26,26,0.09553757811681578,0.04293173033577706
Quinolones,26,27,-0.07039777523668578,0.03266457450869817
Quinolones,26,28,0.15669150581315847,0.0430715619495119
Quinolones,26,29,0.15468587689732122,0.03494754024637588
Quinolones,26,30,0.11616339596188316,0.036156488465359286
Quinolones,26,31,0.10199057420028654,0.023919114825018233
Quinolones,26,32,0.1345855621460521,0.014886075452864826
Quinolones,26,33,0.0770757191693586,0.02556676630957833
Quinolones,26,34,0.06497678577560455,0.03217662759557532
Quinolones,26,35,-0.009727512914124326,0.05582166091707044
Quinolones,26,36,-0.08122515857765347,0.04429817359999001
Quinolones,26,37,-0.03852424033618122,0.04254784360248802
Quinolones,26,38,-0.07830580580956484,0.010151144151054248
Quinolones,26,39,-0.01868439416049612,0.03738842540451342
Quinolones,26,40,-0.010130537862603406,0.03437687663675183
Quinolones,26,41,-0.10594028286600063,0.026488664523627966
Quinolones,26,42,-0.009094797367096641,0.02615649718663703
Quinolones,26,43,-0.05929017495772073,0.026255050986103867
Quinolones,26,44,-0.04655142397939453,0.04666289510079911
Quinolones,26,45,-0.05277142685954299,0.032560915138931994
Quinolones,26,46,-0.019170965201890634,0.035763340428409555
Quinolones,26,47,-0.025243471065645996,0.043095016211314244
Quinolones,26,48,-0.13178408012904475,0.058983180611311366
Quinolones,26,49,0.03318229041006178,0.023685152603526424
Quinolones,26,50,0.10599994484768409,0.012026447548675375
Quinolones,26,51,0.07572576949690087,0.0552139167470286
Quinolones,26,52,-0.23199414980828253,0.019523079319341136
Tetracyclines,52,1,-0.06632694603370969,0.050472173337735335
Tetracyclines,52,2,0.06295060900763738,0.029234146137769722
Tetracyclines,52,3,-0.05351915350209855,0.024940696981123237
Tetracyclines,52,4,4.188107324914148e-4,0.01855802565448016
Tetracyclines,52,5,0.025223305485951086,0.01938224203260131
Tetracyclines,52,6,-0.05295156275659905,0.03438609396725768
Tetracyclines,52,7,-0.02381113543753597,0.0284676980835422
Tetracyclines,52,8,-0.05409178606352112,0.032340122610015204
Tetracyclines,52,9,-0.00659711675130068,0.021176703035604077
Tetracyclines,52,10,-0.03484353595218655,0.021284759523443574
Tetracyclines,52,11,-0.006431045517143796,0.0028796362973972536
Tetracyclines,52,12,0.007906902769492862,0.025444117989596896
Tetracyclines,52,13,0.0251056847785849,0.010052658469188585
Tetracyclines,52,14,-0.0056226365076471165,0.018541203532627306
Tetracyclines,52,15,0.0235766451634835,0.01509990770859936
Tetracyclines,52,16,-0.021564551148836108,0.015178639888968564
Tetracyclines,52,17,0.02183099067779195,0.010181754310103671
Tetracyclines,52,18,0.028001717822166716,0.02365466532964177
Tetracyclines,52,19,0.026609414344636328,0.018153826750856104
Tetracyclines,52,20,0.07663648900063347,0.028433481788013644
Tetracyclines,52,21,-0.04502907650656118,0.022537444443244042
Tetracyclines,52,22,-0.002568268802648599,0.020396938310419443
Tetracyclines,52,23,0.021151648092268084,0.023842993207947007
Tetracyclines,52,24,0.02475187775904757,0.008944479205756688
Tetracyclines,52,25,0.07251472908983918,0.02396196932277324
Tetracyclines,52,26,0.03373170319797099,0.029306982321008108
Tetracyclines,52,27,-0.05113763560906563,0.014784625255826047
Tetracyclines,52,28,0.016515065666505825,0.018367508770291516
Tetracyclines,52,29,0.028664743244996748,0.02787399519688327
Tetracyclines,52,30,0.020738437363400954,0.017310234016443982
Tetracyclines,52,31,0.041652119101606024,0.021701941604301965
Tetracyclines,52,32,0.01285649115182037,0.010009719005603055
Tetracyclines,52,33,0.01965534642498219,0.016247834133708634
Tetracyclines,52,34,0.032269281325703544,0.01480591084731807
Tetracyclines,52,35,-0.04533879044534082,0.013988810878650467
Tetracyclines,52,36,-0.059503965786868965,0.04191031203819137
Tetracyclines,52,37,-0.0026455110655013714,0.008646322467535118
Tetracyclines,52,38,-0.015044818831750906,0.007304238362236852
Tetracyclines,52,39,-0.012136541123936872,0.018492760115632317
Tetracyclines,52,40,0.017471476902407225,0.019097142899533345
Tetracyclines,52,41,-0.07168211540169027,0.014209763444589709
Tetracyclines,52,42,0.02781492040189739,0.016275479357020412
Tetracyclines,52,43,0.03900151871190385,0.017804042069160374
Tetracyclines,52,44,-0.015080089548525754,0.03085615533857314
Tetracyclines,52,45,0.05542328259603777,0.010475524706543008
Tetracyclines,52,46,0.05319529156816085,0.012204638171038108
Tetracyclines,52,47,-0.010814990362807374,0.035339130045596454
Tetracyclines,52,48,-0.0525112645982625,0.06017515099626622
Tetracyclines,52,49,0.007674587432567592,0.01410297352213812
Tetracyclines,52,50,0.04516699969710192,0.039686805922424025
Tetracyclines,52,51,0.028360325513451533,0.031751237547410924
Tetracyclines,52,52,-0.18761787770292077,0.024153849716844658
