organism,drug_code,week,type,mean_deviate
E. coli,CIP,40,Predicted mean MIC seasonal deviate,-0.015270980058315571
E. coli,CIP,41,Actual mean MIC seasonal deviate,-0.029618802663076937
E. coli,CIP,41,Predicted mean MIC seasonal deviate,0.006876425966055409
E. coli,CIP,42,Actual mean MIC seasonal deviate,0.006434197002810342
E. coli,CIP,42,Predicted mean MIC seasonal deviate,0.002456964228461427
E. coli,CIP,43,Actual mean MIC seasonal deviate,0.0024296449181057484
E. coli,CIP,43,Predicted mean MIC seasonal deviate,0.002370597568038096
E. coli,CIP,44,Actual mean MIC seasonal deviate,-0.046099345934737794
E. coli,CIP,44,Predicted mean MIC seasonal deviate,0.014340235180761555
E. coli,CIP,45,Actual mean MIC seasonal deviate,-0.006016475983741606
E. coli,CIP,45,Predicted mean MIC seasonal deviate,0.0012327373695797301
E. coli,CIP,46,Actual mean MIC seasonal deviate,-0.026823015414666588
E. coli,CIP,46,Predicted mean MIC seasonal deviate,-0.017027743336336613
E. coli,CIP,47,Actual mean MIC seasonal deviate,-0.04103677398591241
E. coli,CIP,47,Predicted mean MIC seasonal deviate,-0.0036595954986118136
E. coli,CIP,48,Actual mean MIC seasonal deviate,-0.0681254523743857
E. coli,CIP,48,Predicted mean MIC seasonal deviate,0.007372518886184515
E. coli,CIP,49,Actual mean MIC seasonal deviate,-0.0568637314390456
E. coli,CIP,49,Predicted mean MIC seasonal deviate,-0.010044723544385108
E. coli,CIP,50,Actual mean MIC seasonal deviate,0.03712870946232495
E. coli,CIP,50,Predicted mean MIC seasonal deviate,0.0025132332589482575
E. coli,CIP,51,Actual mean MIC seasonal deviate,-0.0141350213941054
E. coli,CIP,51,Predicted mean MIC seasonal deviate,-6.616629726550252e-4
E. coli,CIP,52,Actual mean MIC seasonal deviate,-0.018944455054374552
E. coli,CIP,52,Predicted mean MIC seasonal deviate,0.031092384365981742
E. coli,NIT,1,Actual mean MIC seasonal deviate,0.022271363143818924
E. coli,NIT,1,Predicted mean MIC seasonal deviate,-0.0013979549864064778
E. coli,NIT,2,Actual mean MIC seasonal deviate,0.019494880203092434
E. coli,NIT,2,Predicted mean MIC seasonal deviate,-7.605894716042631e-4
E. coli,NIT,3,Actual mean MIC seasonal deviate,0.034391245214172965
E. coli,NIT,3,Predicted mean MIC seasonal deviate,3.326886388956527e-4
E. coli,NIT,4,Actual mean MIC seasonal deviate,0.03878915929670439
E. coli,NIT,4,Predicted mean MIC seasonal deviate,-4.556531156686023e-4
E. coli,NIT,5,Actual mean MIC seasonal deviate,0.0352769952823642
E. coli,NIT,5,Predicted mean MIC seasonal deviate,-6.510434217452642e-4
E. coli,NIT,6,Actual mean MIC seasonal deviate,0.03612648326995248
E. coli,NIT,6,Predicted mean MIC seasonal deviate,-8.315727548433897e-4
E. coli,NIT,7,Actual mean MIC seasonal deviate,-0.005330057888222653
E. coli,NIT,7,Predicted mean MIC seasonal deviate,-6.274641010567582e-4
E. coli,NIT,8,Actual mean MIC seasonal deviate,0.019850762384441722
E. coli,NIT,8,Predicted mean MIC seasonal deviate,-0.0012582117821407551
E. coli,NIT,9,Actual mean MIC seasonal deviate,0.020666070896612824
E. coli,NIT,9,Predicted mean MIC seasonal deviate,-0.0018254578326070603
E. coli,NIT,10,Actual mean MIC seasonal deviate,0.005951724848592003
E. coli,NIT,10,Predicted mean MIC seasonal deviate,-6.297556251392793e-4
E. coli,NIT,11,Actual mean MIC seasonal deviate,0.02547904083204391
E. coli,NIT,11,Predicted mean MIC seasonal deviate,-7.83019877800144e-5
E. coli,NIT,12,Actual mean MIC seasonal deviate,0.017600838938745783
E. coli,NIT,12,Predicted mean MIC seasonal deviate,-7.89932830885997e-4
E. coli,NIT,13,Actual mean MIC seasonal deviate,0.025244514318277723
E. coli,NIT,13,Predicted mean MIC seasonal deviate,-6.564879298580044e-4
E. coli,NIT,14,Actual mean MIC seasonal deviate,0.019467854542829514
E. coli,NIT,14,Predicted mean MIC seasonal deviate,-0.0019871106786065176
E. coli,NIT,15,Actual mean MIC seasonal deviate,-8.27317790983647e-4
E. coli,NIT,15,Predicted mean MIC seasonal deviate,-6.725987112944155e-4
E. coli,NIT,16,Actual mean MIC seasonal deviate,-0.003304025730144312
E. coli,NIT,16,Predicted mean MIC seasonal deviate,-1.2125275364014231e-4
E. coli,NIT,17,Actual mean MIC seasonal deviate,-0.005910028837093015
E. coli,NIT,17,Predicted mean MIC seasonal deviate,-0.001116371815738225
E. coli,NIT,18,Actual mean MIC seasonal deviate,0.020205548739246872
E. coli,NIT,18,Predicted mean MIC seasonal deviate,-2.0318975718122307e-4
E. coli,NIT,19,Actual mean MIC seasonal deviate,0.03107817723325868
E. coli,NIT,19,Predicted mean MIC seasonal deviate,-0.0010023963519464104
E. coli,NIT,20,Actual mean MIC seasonal deviate,0.024334242034731276
E. coli,NIT,20,Predicted mean MIC seasonal deviate,-8.157284564033061e-4
E. coli,NIT,21,Actual mean MIC seasonal deviate,0.03676954303584157
E. coli,NIT,21,Predicted mean MIC seasonal deviate,1.1506155348231964e-4
E. coli,NIT,22,Actual mean MIC seasonal deviate,1.943279398594597e-4
E. coli,NIT,22,Predicted mean MIC seasonal deviate,-4.246303005497135e-4
E. coli,NIT,23,Actual mean MIC seasonal deviate,0.022565477796677495
E. coli,NIT,23,Predicted mean MIC seasonal deviate,5.795036204004803e-4
E. coli,NIT,24,Actual mean MIC seasonal deviate,-0.02115600085297344
E. coli,NIT,24,Predicted mean MIC seasonal deviate,-8.266746826183247e-4
E. coli,NIT,25,Actual mean MIC seasonal deviate,0.00316415487110425
E. coli,NIT,25,Predicted mean MIC seasonal deviate,3.5044294454252543e-4
E. coli,NIT,26,Actual mean MIC seasonal deviate,-0.021475007538516735
E. coli,NIT,26,Predicted mean MIC seasonal deviate,-4.083390855186964e-5
E. coli,NIT,27,Actual mean MIC seasonal deviate,-0.01354110260002184
E. coli,NIT,27,Predicted mean MIC seasonal deviate,8.002026903523143e-4
E. coli,NIT,28,Actual mean MIC seasonal deviate,-0.03768082751372416
E. coli,NIT,28,Predicted mean MIC seasonal deviate,-3.6762666453544985e-4
E. coli,NIT,29,Actual mean MIC seasonal deviate,-0.01547082311971687
E. coli,NIT,29,Predicted mean MIC seasonal deviate,-0.0010313944176821562
E. coli,NIT,30,Actual mean MIC seasonal deviate,-0.007660371718312496
E. coli,NIT,30,Predicted mean MIC seasonal deviate,-5.193344735494457e-4
E. coli,NIT,31,Actual mean MIC seasonal deviate,-0.007059520619901385
E. coli,NIT,31,Predicted mean MIC seasonal deviate,-5.03984981990481e-4
E. coli,NIT,32,Actual mean MIC seasonal deviate,-0.024611270697906057
E. coli,NIT,32,Predicted mean MIC seasonal deviate,-0.0015261371668213767
E. coli,NIT,33,Actual mean MIC seasonal deviate,-0.026819928937996236
E. coli,NIT,33,Predicted mean MIC seasonal deviate,-5.920891063355831e-4
E. coli,NIT,34,Actual mean MIC seasonal deviate,-0.034010413410495155
