organism,drugA,drugB,drugB_pheno,period,omega,AIC,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2008,0.004162064890224051,-0.014022655591152153,0.022346785371600255,0.009278089100011513,0.4485907437792213,0.6538051627485744,0.8815505903925425
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2009,0.01605741625340969,-0.0018275420649643027,0.03394237457178369,0.009125146410570942,1.7596886154953222,0.07870677999053514,0.30744188083471763
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2010,0.016274681956684547,-0.0031375290418803083,0.035686892955249405,0.009904371280128565,1.6431817322253384,0.10059844881259916,0.34924744493430654
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2011,0.004916495549381349,-0.011953532109375973,0.02178652320813867,0.008607315130189102,0.5711996685397686,0.567967643650797,0.8496426539166394
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2012,-0.0019247039177183642,-0.01780439031204055,0.013954982476603822,0.008102029690126519,-0.23755824050655988,0.8122629231583093,0.9383742373256795
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2013,0.0034080029887472306,-0.011601569577094314,0.018417575554588776,0.007658085905779464,0.4450202087933295,0.6563826950452152,0.8815505903925425
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2014,0.0101366218282084,-0.006147737106889959,0.026420980763306758,0.008308499066078412,1.220030446846142,0.22268493932726835,0.5219621507798392
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2015,-0.007689109739808773,-0.022046951119158508,0.0066687316395409625,0.007325563884133872,-1.0496270132135888,0.294093826256918,0.5818630540997087
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,slope,MGH_2016,0.005573758405973101,-0.010711289044963709,0.02185880585690991,0.008308850356124496,0.6708218546582266,0.5024587482019907,0.8085808302649458
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,BWH_2013,5.605653966578403,-4.463649759124255,15.674957692281062,5.137494262715052,1.0911260781858156,0.27542903574519034,0.2815496809839723
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2007,7.004143084486542,6.458559379100409,7.549726789872675,0.27836414836682094,25.161800201571456,3.0824151961340457e-113,5.877351254804812e-113
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2008,7.440729113985405,6.858911349463971,8.022546878506839,0.29685125293665543,25.06551358761881,1.5363112683445005e-112,2.914239931705032e-112
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2009,7.049600885675107,6.470266699089075,7.6289350722611395,0.295584098052692,23.849729847166603,8.241253385667262e-104,1.5552724338079756e-103
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2010,7.473806003778251,6.929594141095224,8.018017866461278,0.27766421575891254,26.916705789223958,4.318648439116289e-126,8.408796960819018e-126
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2011,7.163500500549141,6.652595947621812,7.67440505347647,0.26067037810759713,27.481068438057264,2.8306733027153314e-130,5.570522863097551e-130
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2012,7.665624684369137,7.157588206186946,8.173661162551326,0.2592070477771619,29.57336519244341,5.97150208337718e-146,1.194300416675436e-145
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2013,7.123690411261557,6.67461126666122,7.572769555861894,0.22912622279930467,31.090681477786642,1.9180781680183076e-157,3.943311540953839e-157
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2014,6.837038256715336,6.342184992549552,7.331891520881119,0.2524807945804736,27.079438925546295,2.699615057493448e-127,5.284352878497813e-127
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2015,6.769369427340507,6.325203039005155,7.2135358156758596,0.22661966844231854,29.871058738502715,3.3733257912325765e-148,6.82079061084389e-148
K. pneumoniae,NIT,AMC,NS,52,0.1208304866765305,4271.430779265545,intercept,MGH_2016,6.30607140374392,5.829757452746454,6.782385354741386,0.24302178751985756,25.948584561491817,5.721657565999013e-119,1.1023926619307e-118
K. pneumoniae,NIT,AMC,S,52,0.1208304866765305,43190.05898765872,amplitude,NA,0.03605642870940398,-5.409398744560256e-4,0.07265379729326399,0.018672469939516947,1.9309940691400975,0.0535035626086279,0.07553444132982763
K. pneumoniae,NIT,AMC,S,52,0.1208304866765305,43190.05898765872,phase,NA,45.17390009277228,37.778361970489,52.569438215055555,3.7733030711882143,-1.809051586486579,0.07046401783667643,0.08900718042527549
K. pneumoniae,NIT,AMC,S,52,0.1208304866765305,43190.05898765872,slope,BWH_2013,0.09021888544946309,0.023800051878173287,0.1566377190207529,0.03388778268131104,2.6622835225869883,0.00776994516634316,0.05105963966454077
K. pneumoniae,NIT,AMC,S,52,0.1208304866765305,43190.05898765872,slope,MGH_2007,-0.0037196325247897187,-0.008311298915703967,8.720338661245305e-4,0.002342729982353109,-1.5877342044573173,0.11236860256151036,0.37636183066157275
